area,file_line,label,endpoint,role_gate,d1_func,d2_auth,d3_failure,d4_loading,d5_orphan,d6_a11y,d7_banned,d8_csrf,d9_consistency,severity,finding,fix_action
1-login,PartnerLogin.tsx:315,Verify (TOTP),POST /api/partner-auth/verify-totp,public(MFA token),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NONE,Clean MFA verify path with disabled+spinner+CSRF,none
1-login,PartnerLogin.tsx:337,Back to login,client-only,n/a,PASS,N/A,N/A,N/A,PASS,PASS,PASS,N/A,PASS,NONE,State-reset only,none
1-login,PartnerLogin.tsx:440,Sign in with Microsoft,GET /api/partner-auth/microsoft (redirect),public,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A(GET),PASS,NONE,window.location.href redirect to OAuth,none
1-login,PartnerLogin.tsx:459,Sign in with Google,GET /api/partner-auth/google (redirect),public,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A(GET),PASS,NONE,window.location.href redirect to OAuth,none
1-login,PartnerLogin.tsx:490,Email and Password tab,client-only,n/a,PASS,N/A,N/A,N/A,PASS,PASS,PASS,N/A,PASS,NONE,role=tab + aria-selected,none
1-login,PartnerLogin.tsx:503,API Key tab,client-only,n/a,PASS,N/A,N/A,N/A,PASS,PASS,PASS,N/A,PASS,NONE,role=tab + aria-selected,none
1-login,PartnerLogin.tsx:548,Sign In (email),POST /api/partner-auth/email-login-api,public,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NONE,disabled when fields empty + CSRF,none
1-login,PartnerLogin.tsx:573,Sign In (api key),POST via login(),public,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NONE,disabled when empty + ctx.login,none
1-login,PartnerLogin.tsx:588,Request a partner account,client-only(opens form),n/a,PASS,N/A,N/A,N/A,PASS,PASS,PASS,N/A,PASS,NONE,toggles signup form,none
1-login,PartnerLogin.tsx:646,Request Account,POST /api/partner-auth/email-signup,public,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NONE,disabled state + CSRF + success render,none
1-login,PartnerLogin.tsx:654,Back to login (signup form),client-only,n/a,PASS,N/A,N/A,N/A,PASS,PASS,PASS,N/A,PASS,NONE,resets signup form,none
1-login,PartnerLogin.tsx:auto,Magic-link auto-handler,POST /api/partners/auth/magic,public(token-bound),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NONE,POST token in body not URL,none
2-dash,PartnerDashboard.tsx:299,Welcome guide (?icon),client-only(localStorage),n/a,PASS,N/A,N/A,N/A,PASS,FAIL,PASS,N/A,PASS,MINOR,No aria-label/title visible only on hover,Add aria-label=Show welcome guide
2-dash,PartnerDashboard.tsx:311,Sign Out,client-only(ctx logout),n/a,PASS,PASS,N/A,N/A,PASS,PASS,PASS,N/A,PASS,NONE,navigate to login after logout,none
2-dash,PartnerDashboard.tsx:403-543,Tab buttons (13 tabs),client-only,n/a,PASS,N/A,N/A,N/A,PASS,FAIL,PASS,N/A,PASS,MINOR,No role=tab/aria-selected on tablist,Add role=tablist + aria-selected
2-dash,PartnerDashboard.tsx:534,Appliances tab nav,navigate /partner/appliances,client-only,PASS,PASS,N/A,N/A,PASS,FAIL,PASS,N/A,PASS,MINOR,Tab styled as button but routes,Same as above
2-dash,PartnerDashboard.tsx:539,Security tab nav,navigate /partner/security,client-only,PASS,PASS,N/A,N/A,PASS,FAIL,PASS,N/A,PASS,MINOR,Same,Same
2-dash,PartnerDashboard.tsx:571,Create Provision Code (empty state),client-only(opens modal),n/a,PASS,N/A,N/A,N/A,PASS,PASS,PASS,N/A,PASS,NONE,opens modal,none
2-dash,PartnerDashboard.tsx:634,Security Checks (per-site),client-only(swap to drift config),n/a,PASS,N/A,N/A,N/A,PASS,PASS,PASS,N/A,PASS,NONE,opens PartnerDriftConfig inline,none
