hipaa_control,hipaa_title,nixos_module,nixos_option,baseline_setting,implementation_notes,verification_method
164.308(a)(1)(ii)(D),Information System Activity Review,services.auditd,enable,true,Enable auditd for comprehensive system auditing,Check systemctl status auditd
164.308(a)(1)(ii)(D),Information System Activity Review,services.journald,extraConfig,ForwardToSyslog=yes,Forward journald logs to syslog for central collection,Check journalctl config
164.308(a)(1)(ii)(D),Information System Activity Review,services.log-watcher,enable,true,Deploy MSP log watcher for automated monitoring,Check /status endpoint
164.308(a)(3)(ii)(A),Workforce Access - Authorization,security.sudo,enable,true,Enforce sudo for privilege escalation,Check /etc/sudoers
164.308(a)(3)(ii)(A),Workforce Access - Authorization,security.sudo,extraRules,Require password + timeout,Configure sudo with re-authentication,Test sudo timeout
164.308(a)(3)(ii)(B),Workforce Access - Determination,users.users,isNormalUser,true,No shared accounts - one user per person,Audit user list
164.308(a)(3)(ii)(C),Workforce Access - Termination,security.pam,failDelay,1000000,Lock accounts after failed attempts,Test account lockout
164.308(a)(4)(ii)(A),Access Authorization - Isolating Clearinghouse,N/A,N/A,N/A,Not applicable - no clearinghouse function,N/A
164.308(a)(4)(ii)(B),Access Establishment & Modification,users.users,extraGroups,Minimal groups per user,Least privilege group membership,Review group memberships
164.308(a)(4)(ii)(C),Security Reminders,security.pam,loginLimits,Enforce password age limits,90-day password expiration,Check password age
164.308(a)(5)(ii)(B),Protection from Malicious Software,services.clamav,daemon.enable,true,Enable ClamAV antimalware scanning,Check systemctl status clamav-daemon
164.308(a)(5)(ii)(B),Protection from Malicious Software,security.apparmor,enable,true,Enable AppArmor for application confinement,Check aa-status
164.308(a)(5)(ii)(D),Security Awareness & Training,N/A,N/A,N/A,Organizational policy - not technical control,Documentation review
164.308(a)(6)(i),Security Incident Procedures,services.mcp,enable,true,Automated incident response via MCP,Check MCP incident logs
164.308(a)(6)(ii),Response & Reporting,services.mcp,alerting,Email + webhook alerts,Automatic escalation on incident,Test alert delivery
164.308(a)(7)(ii)(A),Contingency Plan - Data Backup,services.restic,enable,true,Automated encrypted backups,Check backup completion
164.308(a)(7)(ii)(A),Contingency Plan - Data Backup,systemd.timers.restic-backup,enable,true,Daily backup schedule,Verify timer execution
164.308(a)(7)(ii)(B),Disaster Recovery Plan,services.restic,verifyBackups,true,Weekly restore testing via RB-RESTORE-001,Review restore test logs
